"journal","discipline","fullTitle"
"Adolesc Med Clin","Medicine","Adolescent medicine clinics"
"Adolesc Med State Art Rev","Medicine","Adolescent medicine: state of the art reviews"
"Adolescence","Pediatrics","Adolescence"
"Adv Anat Pathol","Pathology","Advances in anatomic pathology"
"Adv Appl Microbiol","Microbiology","Advances in applied microbiology"
"Adv Biochem Eng Biotechnol","Biotechnology","Advances in biochemical engineering/biotechnology"
"Adv Biol Regul","Cell Biology","Advances in biological regulation"
"Adv Cancer Res","Neoplasms","Advances in cancer research"
"Adv Cardiol","Cardiology","Advances in cardiology"
"Adv Child Dev Behav","Psychology","Advances in child development and behavior"
"Adv Chronic Kidney Dis","Nephrology","Advances in chronic kidney disease"
"Adv Clin Chem","Chemistry","Advances in clinical chemistry"
"Adv Clin Exp Med","Medicine","Advances in clinical and experimental medicine : official organ Wroclaw Medical University"
"Adv Colloid Interface Sci","Chemistry","Advances in colloid and interface science"
"Adv Drug Deliv Rev","Pharmacology","Advanced drug delivery reviews"
"Adv Emerg Nurs","Nursing","Advanced emergency nursing journal"
"Adv Enzyme Regul","Biochemistry","Advances in enzyme regulation"
"Adv Exp Med Biol","Medicine","Advances in experimental medicine and biology"
"Adv Food Nutr Res","Nutritional Sciences","Advances in food and nutrition research"
"Adv Genet","Genetics","Advances in genetics"
"Adv Health Econ Health Serv Res","Health Services Research","Advances in health economics and health services research"
"Adv Health Sci Educ Theory Pract","Nursing","Advances in health sciences education : theory and practice"
"Adv Healthc Mater","Medicine","Advanced healthcare materials"
"Adv Immunol","Immunology","Advances in immunology"
"Adv Mar Biol","Biology","Advances in marine biology"
"Adv Med Sci","Medicine","Advances in medical sciences"
"Adv Mind Body Med","Medicine","Advances in mind-body medicine"
"Adv Neonatal Care","Perinatology","Advances in neonatal care : official journal of the National Association of Neonatal Nurses"
"Adv Neurol","Neurology","Advances in neurology"
"Adv NPs PAs","Nursing","Advance for NPs &PAs"
"Adv Nurse Pract","Nursing","Advance for nurse practitioners"
"Adv Nutr","Nutritional Sciences","Advances in nutrition (Bethesda, Md.)"
"Adv Otorhinolaryngol","Otolaryngology","Advances in oto-rhino-laryngology"
"Adv Parasitol","Parasitology","Advances in parasitology"
"Adv Pediatr","Pediatrics","Advances in pediatrics"
"Adv Perit Dial","Nephrology","Advances in peritoneal dialysis. Conference on Peritoneal Dialysis"
"Adv Pharmacol","Pharmacology","Advances in pharmacology"
"Adv Pharmacol","Pharmacology","Advances in pharmacology (San Diego, Calif.)"
"Adv Physiol Educ","Physiology","Advances in physiology education"
"Adv Protein Chem","Biochemistry","Advances in protein chemistry"
"Adv Protein Chem Struct Biol","Chemistry","Advances in protein chemistry and structural biology"
"Adv Psychosom Med","Medicine","Advances in psychosomatic medicine"
"Adv Skin Wound Care","Nursing","Advances in skin &wound care"
"Adv Surg","General Surgery","Advances in surgery"
"Adv Surg","General Surgery","Advances in surgery"
"Adv Ther","Therapeutics","Advances in therapy"
"Adv Virus Res","Virology","Advances in virus research"
"Aerosp Med Hum Perform","Medicine","Aerospace medicine and human performance"
"Aesthet Surg","General Surgery","Aesthetic surgery journal / the American Society for Aesthetic Plastic surgery"
"Aesthetic Plast Surg","General Surgery","Aesthetic plastic surgery"
"Afr Health Sci","Medicine","African health sciences"
"Afr J AIDS Res","AIDS","African journal of AIDS research : AJAR"
"Afr J Paediatr Surg","Pediatrics","African journal of paediatric surgery : AJPS"
"Afr J Prim Health Care Fam Med","Medicine","African journal of primary health care &family medicine"
"Afr J Reprod Health","Reproductive Medicine","African journal of reproductive health"
"Afr J Tradit Complement Altern Med","Medicine","African journal of traditional, complementary, and alternative medicines : AJTCAM / African Networks on Ethnomedicines"
"Age (Dordr)","Geriatrics","Age (Dordrecht, Netherlands)"
"Age Ageing","Geriatrics","Age and ageing"
"Ageing Res Rev","Geriatrics","Ageing research reviews"
"Aggress Behav","Behavioral Sciences","Aggressive behavior"
"Aging (Albany NY)","Geriatrics","Aging"
"Aging Cell","Cell Biology","Aging cell"
"Aging Clin Exp Res","Geriatrics","Aging clinical and experimental research"
"Aging Male","Geriatrics","The aging male : the official journal of the International Society for the Study of the Aging Male"
"Aging Ment Health","Medicine","Aging &mental health"
"Agri","Medicine","Aǧrı : Ağrı (Algoloji) Derneği'nin Yayın organıdır = The journal of the Turkish Society of Algology"
"AHIP Cover","Health Services","AHIP Coverage"
"Ai Zheng","Neoplasms","Ai zheng = Aizheng = Chinese journal of cancer"
"AIDS","AIDS","AIDS (London, England)"
"AIDS Behav","AIDS","AIDS and behavior"
"AIDS Care","AIDS","AIDS care"
"AIDS Clin Care","AIDS","AIDS clinical care"
"AIDS Educ Prev","AIDS","AIDS education and prevention : official publication of the International Society for AIDS Education"
"AIDS Patient Care STDS","AIDS","AIDS patient care and STDs"
"AIDS Read","AIDS","The AIDS reader"
"AIDS Res Hum Retroviruses","AIDS","AIDS research and human retroviruses"
"AIDS Rev","AIDS","AIDS reviews"
"AIDS Treat News","AIDS","AIDS treatment news"
"AJNR Am J Neuroradiol","Neurology","AJNR. American journal of neuroradiology"
"AJR Am J Roentgenol","Radiology","AJR. American journal of roentgenology"
"Aktuelle Urol","Urology","Aktuelle Urologie"
"Akush Ginekol (Mosk)","Obstetrics","Akusherstvo i ginekologii︠a︡"
"Akush Ginekol (Sofiia)","Unclassified","Akusherstvo i ginekologii︠a︡"
"Ala Nurse","Nursing","The Alabama nurse"
"Alaska Med","Medicine","Alaska medicine"
"Alcohol","Substance-Related Disorders","Alcohol (Fayetteville, N.Y.)"
"Alcohol Alcohol","Substance-Related Disorders","Alcohol and alcoholism (Oxford, Oxfordshire)"
"Alcohol Clin Exp Res","Substance-Related Disorders","Alcoholism, clinical and experimental research"
"Alcohol Res","Substance-Related Disorders","Alcohol research : current reviews"
"Alcohol Res Health","Substance-Related Disorders","Alcohol research &health : the journal of the National Institute on Alcohol Abuse and Alcoholism"
"Allergol Immunopathol (Madr)","Allergy and Immunology","Allergologia et immunopathologia"
"Allergol Int","Allergy and Immunology","Allergology international : official journal of the Japanese Society of Allergology"
"Allergy","Allergy and Immunology","Allergy"
"Allergy Asthma Proc","Allergy and Immunology","Allergy and asthma proceedings : the official journal of regional and state allergy societies"
"Alpha Omegan","Dentistry","The Alpha omegan"
"Alta RN","Nursing","Alberta RN / Alberta Association of Registered Nurses"
"Altern Lab Anim","Laboratory Animal Science","Alternatives to laboratory animals : ATLA"
"Altern Med Rev","Medicine","Alternative medicine review : a journal of clinical therapeutic"
"Altern Ther Health Med","Medicine","Alternative therapies in health and medicine"
"ALTEX","Laboratory Animal Science","ALTEX"
"Alzheimer Dis Assoc Disord","Neurology","Alzheimer disease and associated disorders"
"Alzheimers Dement","Neurology","Alzheimer's &dementia : the journal of the Alzheimer's Association"
"Alzheimers Res Ther","Neurology","Alzheimer's research &therapy"
"Am Ann Deaf","Audiology","American annals of the deaf"
"Am Fam Physician","Primary Health Care","American family physician"
"Am Heart Hosp","Cardiology","The American heart hospital journal"
"Am Indian Alsk Native Ment Health Res","Psychology","American Indian and Alaska native mental health research (Online)"
"Am Indian Alsk Native Ment Health Res","Psychology","American Indian and Alaska native mental health research : journal of the National Center"
"Am J Addict","Substance-Related Disorders","The American journal on addictions / American Academy of Psychiatrists in Alcoholism and Addictions"
"Am J Alzheimers Dis Other Demen","Neurology","American journal of Alzheimer's disease and other dementias"
"Am J Audiol","Audiology","American journal of audiology"
"Am J Bioeth","Ethics","The American journal of bioethics : AJOB"
"Am J Bot","Botany","American journal of botany"
"Am J Cardiol","Cardiology","The American journal of cardiology"
"Am J Cardiovasc Drugs","Cardiology","American journal of cardiovascular drugs : drugs, devices, and other interventions"
"Am J Case Rep","Medicine","The American journal of case reports"
"Am J Chin Med","Medicine","The American journal of Chinese medicine"
"Am J Clin Dermatol","Dermatology","American journal of clinical dermatology"
"Am J Clin Hypn","Medicine","The American journal of clinical hypnosis"
"Am J Clin Nutr","Nutritional Sciences","The American journal of clinical nutrition"
"Am J Clin Oncol","Neoplasms","American journal of clinical oncology"
"Am J Clin Pathol","Pathology","American journal of clinical pathology"
"Am J Community Psychol","Psychology","American journal of community psychology"
"Am J Crit Care","Critical Care","American journal of critical care : an official publication, American Association of Critical-Care Nurses"
"Am J Dent","Dentistry","American journal of dentistry"
"Am J Dermatopathol","Dermatology","The American Journal of dermatopathology"
"Am J Disaster Med","Medicine","American journal of disaster medicine"
"Am J Drug Alcohol Abuse","Substance-Related Disorders","The American journal of drug and alcohol abuse"
"Am J Electroneurodiagnostic Technol","Neurology","American journal of electroneurodiagnostic technology"
"Am J Emerg Med","Medicine","The American journal of emergency medicine"
"Am J Epidemiol","Epidemiology","American journal of epidemiology"
"Am J Forensic Med Pathol","Medicine","The American journal of forensic medicine and pathology"
"Am J Gastroenterol","Gastroenterology","The American journal of gastroenterology"
"Am J Geriatr Cardiol","Cardiology","The American journal of geriatric cardiology"
"Am J Geriatr Pharmacother","Pharmacology","The American journal of geriatric pharmacotherapy"
"Am J Geriatr Psychiatry","Psychiatry","The American journal of geriatric psychiatry : official journal of the American Association for Geriatric Psychiatry"
"Am J Health Behav","Behavioral Sciences","American journal of health behavior"
"Am J Health Promot","Public Health","American journal of health promotion : AJHP"
"Am J Health Syst Pharm","Pharmacology","American journal of health-system pharmacy : AJHP : official journal of the American Society of Health-System Pharmacists"
"Am J Hematol","Hematology","American journal of hematology"
"Am J Hosp Palliat Care","Palliative Care","The American journal of hospice &palliative care"
"Am J Hum Biol","Biology","American journal of human biology : the official journal of the Human Biology Council"
"Am J Hum Genet","Genetics","American journal of human genetics"
"Am J Hypertens","Vascular Diseases","American journal of hypertension"
"Am J Ind Med","Medicine","American journal of industrial medicine"
"Am J Infect Control","Communicable Diseases","American journal of infection control"
"Am J Intellect Dev Disabil","Psychiatry","American journal on intellectual and developmental disabilities"
"Am J Kidney Dis","Nephrology","American journal of kidney diseases : the official journal of the National Kidney Foundation"
"Am J Law Med","Medicine","American journal of law &medicine"
"Am J Manag Care","Health Services","The American journal of managed care"
"Am J Med","Medicine","The American journal of medicine"
"Am J Med Genet","Medicine","American journal of medical genetics"
"Am J Med Genet","Medicine","American journal of medical genetics. Part "
"Am J Med Genet B Neuropsychiatr Genet","Medicine","American journal of medical genetics. Part B, Neuropsychiatric genetics : the official publication of the International Society of Psychiatric Genetics"
"Am J Med Genet C Semin Med Genet","Medicine","American journal of medical genetics. Part C, Seminars in medical genetics"
"Am J Med Qual","Medicine","American journal of medical quality : the official journal of the American College of Medical Quality"
"Am J Med Sci","Medicine","The American journal of the medical sciences"
"Am J Mens Health","Medicine","American journal of men's health"
"Am J Ment Retard","Psychiatry","American journal of mental retardation : AJMR"
"Am J Nephrol","Nephrology","American journal of nephrology"
"Am J Nurs","Nursing","The American journal of nursing"
"Am J Obstet Gynecol","Gynecology","American journal of obstetrics and gynecology"
"Am J Occup Ther","Physical and Rehabilitation Medicine","The American journal of occupational therapy : official publication of the American Occupational Therapy Association"
"Am J Ophthalmol","Ophthalmology","American journal of ophthalmology"
"Am J Orthod Dentofacial Orthop","Orthodontics","American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics"
"Am J Orthop","Orthopedics","The American journal of orthopedics"
"Am J Orthopsychiatry","Psychology","The American journal of orthopsychiatry"
"Am J Otolaryngol","Otolaryngology","American journal of otolaryngology"
"Am J Pathol","Pathology","The American journal of pathology"
"Am J Perinatol","Perinatology","American journal of perinatology"
"Am J Pharm Educ","Pharmacology","American journal of pharmaceutical education"
"Am J Pharmacogenomics","Pharmacology","American journal of pharmacogenomics : genomics-related research in drug development and clinical practice"
"Am J Phys Anthropol","Anthropology","American journal of physical anthropology"
"Am J Phys Med Rehabil","Medicine","American journal of physical medicine &rehabilitation / Association of Academic Physiatrists"
"Am J Physiol Cell Physiol","Physiology","American journal of physiology. Cell physiology"
"Am J Physiol Endocrinol Metab","Physiology","American journal of physiology. Endocrinology and metabolism"
"Am J Physiol Gastrointest Liver Physiol","Physiology","American journal of physiology. Gastrointestinal and liver physiology"
"Am J Physiol Heart Circ Physiol","Physiology","American journal of physiology. Heart and circulatory physiology"
"Am J Physiol Lung Cell Mol Physiol","Physiology","American journal of physiology. Lung cellular and molecular physiology"
"Am J Physiol Regul Integr Comp Physiol","Physiology","American journal of physiology. Regulatory, integrative and comparative physiology"
"Am J Physiol Renal Physiol","Physiology","American journal of physiology. Renal physiology"
"Am J Prev Med","Medicine","American journal of preventive medicine"
"Am J Primatol","Zoology","American journal of primatology"
"Am J Psychiatry","Psychiatry","The American journal of psychiatry"
"Am J Psychoanal","Psychiatry","American journal of psychoanalysis"
"Am J Psychol","Psychology","The American journal of psychology"
"Am J Psychother","Psychology","American journal of psychotherapy"
"Am J Public Health","Public Health","American journal of public health"
"Am J Reprod Immunol","Immunology","American journal of reproductive immunology (New York, N.Y. : 1989)"
"Am J Reprod Immunol","Immunology","American journal of reproductive immunology : AJRI : official journal of the American Society for the Immunology of Reproduction and the International Coordination Committee for Immunology of Reproduction"
"Am J Respir Cell Mol Biol","Molecular Biology","American journal of respiratory cell and molecular biology"
"Am J Respir Crit Care Med","Medicine","American journal of respiratory and critical care medicine"
"Am J Rhinol","Otolaryngology","American journal of rhinology"
"Am J Rhinol Allergy","Allergy and Immunology","American journal of rhinology &allergy"
"Am J Sociol","Social Sciences","The American journal of sociology"
"Am J Speech Lang Pathol","Speech-Language Pathology","American journal of speech-language pathology / American Speech-Language-Hearing Association"
"Am J Sports Med","Medicine","The American journal of sports medicine"
"Am J Surg","General Surgery","American journal of surgery"
"Am J Surg Pathol","General Surgery","The American journal of surgical pathology"
"Am J Ther","Therapeutics","American journal of therapeutics"
"Am J Transplant","Transplantation","American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons"
"Am J Trop Med Hyg","Medicine","The American journal of tropical medicine and hygiene"
"Am J Vet Res","Veterinary Medicine","American journal of veterinary research"
"Am Nat","Multidisciplinary","The American naturalist"
"Am Nurse","Nursing","The American nurse"
"Am Orthopt","Orthopedics","The American orthoptic journal"
"Am Psychol","Psychology","The American psychologist"
"Am Soc Clin Oncol Educ Book","Neoplasms","American Society of Clinical Oncology educational book / ASCO. American Society of Clinical Oncology. Meeting"
"Am Surg","General Surgery","The American surgeon"
"AMA J Ethics","Ethics","AMA journal of ethics"
"Ambio","Environmental Health","Ambio"
"Ambix","Unclassified","Ambix"
"Ambul Pediatr","Pediatrics","Ambulatory pediatrics : the official journal of the Ambulatory Pediatric Association"
"AMIA Annu Symp Proc","Medical Informatics","AMIA ... Annual Symposium proceedings / AMIA Symposium. AMIA Symposium"
"Amino Acids","Biochemistry","Amino acids"
"Amyloid","Biochemistry","Amyloid : the international journal of experimental and clinical investigation : the official journal of the International Society of Amyloidosis"
"Amyotroph Lateral Scler","Neurology","Amyotrophic lateral sclerosis : official publication of the World Federation of Neurology Research Group on Motor Neuron Diseases"
"Amyotroph Lateral Scler Frontotemporal Degener","Neurology","Amyotrophic lateral sclerosis &frontotemporal degeneration"
"Amyotroph Lateral Scler Other Motor Neuron Disord","Neurology","Amyotrophic lateral sclerosis and other motor neuron disorders : official publication of the World Federation of Neurology, Research Group on Motor Neuron Diseases"
"An Acad Bras Cienc","Multidisciplinary","Anais da Academia Brasileira de Ciências"
"An Bras Dermatol","Dermatology","Anais brasileiros de dermatologia"
"An Pediatr (Barc)","Pediatrics","Anales de pediatría (Barcelona, Spain : 2003)"
"An R Acad Nac Med (Madr)","Medicine","Anales de la Real Academia Nacional de Medicina"
"Anadolu Kardiyol Derg","Cardiology","Anadolu kardiyoloji dergisi : AKD = the Anatolian journal of cardiology"
"Anaerobe","Microbiology","Anaerobe"
"Anaesth Crit Care Pain Med","Medicine","Anaesthesia, critical care &pain medicine"
"Anaesthesiol Intensive Ther","Anesthesiology","Anaesthesiology intensive therapy"
"Anal Bioanal Chem","Chemistry Techniques, Analytical","Analytical and bioanalytical chemistry"
"Anal Biochem","Biochemistry","Analytical biochemistry"
"Anal Cell Pathol (Amst)","Cell Biology","Analytical cellular pathology (Amsterdam)"
"Anal Chem","Chemistry Techniques, Analytical","Analytical chemistry"
"Anal Chim Acta","Chemistry Techniques, Analytical","Analytica chimica acta"
"Anal Quant Cytol Histol","Cell Biology","Analytical and quantitative cytology and histology / the International Academy of Cytology [and] American Society of Cytology"
"Anal Quant Cytopathol Histpathol","Cell Biology","Analytical and quantitative cytopathology and histopathology"
"Anal Sci","Chemistry Techniques, Analytical","Analytical sciences : the international journal of the Japan Society for Analytical Chemistry"
"Analyst","Chemistry Techniques, Analytical","The Analyst"
"Anasthesiol Intensivmed Notfallmed Schmerzther","Emergency Medicine","Anästhesiologie, Intensivmedizin, Notfallmedizin, Schmerztherapie : AINS"
"Anat Rec","Anatomy","The Anatomical record"
"Anat Rec (Hoboken)","Anatomy","Anatomical record (Hoboken, N.J. : 2007)"
"Anat Rec A Discov Mol Cell Evol Biol","Anatomy","The anatomical record. Part A, Discoveries in molecular, cellular, and evolutionary biology"
"Anat Rec B New Anat","Anatomy","Anatomical record. Part B, New anatomist"
"Anat Sci Educ","Unclassified","Anatomical sciences education"
"Anat Sci Int","Anatomy","Anatomical science international"
"Anatol J Cardiol","Cardiology","Anatolian journal of cardiology"
"Anestezjol Intens Ter","Anesthesiology","Anestezjologia intensywna terapia"
"Anesth Analg","Anesthesiology","Anesthesia and analgesia"
"Anesth Prog","Dentistry","Anesthesia progress"
"Anesthesiol Clin","Anesthesiology","Anesthesiology clinics"
"Anesthesiol Clin North America","Anesthesiology","Anesthesiology clinics of North America"
"Anesthesiology","Anesthesiology","Anesthesiology"
"Angew Chem Int Ed Engl","Chemistry","Angewandte Chemie (International ed. in English)"
"Angiogenesis","Hematology","Angiogenesis"
"Angiology","Vascular Diseases","Angiology"
"Angle Orthod","Orthodontics","The Angle orthodontist"
"Anim Biotechnol","Biotechnology","Animal biotechnology"
"Anim Cogn","Veterinary Medicine","Animal cognition"
"Anim Genet","Genetics","Animal genetics"
"Anim Health Res Rev","Veterinary Medicine","Animal health research reviews / Conference of Research Workers in Animal Diseases"
"Anim Reprod Sci","Veterinary Medicine","Animal reproduction science"
"Ann Acad Med Stetin","Medicine","Annales Academiae Medicae Stetinensis"
"Ann Adv Automot Med","Medicine","Annals of advances in automotive medicine / Annual Scientific Conference ... Association for the Advancement of Automotive Medicine. Association for the Advancement of Automotive Medicine. Scientific Conference"
"Ann Afr Med","Medicine","Annals of African medicine"
"Ann Agric Environ Med","Medicine","Annals of agricultural and environmental medicine : AAEM"
"Ann Allergy Asthma Immunol","Immunology","Annals of allergy, asthma &immunology : official publication of the American College of Allergy, Asthma, &Immunology"
"Ann Am Thorac Soc","Pulmonary Medicine","Annals of the American Thoracic Society"
"Ann Anat","Anatomy","Annals of anatomy = Anatomischer Anzeiger : official organ of the Anatomische Gesellschaft"
"Ann Behav Med","Medicine","Annals of behavioral medicine : a publication of the Society of Behavioral Medicine"
"Ann Biol Clin (Paris)","Biology","Annales de biologie clinique"
"Ann Biomed Eng","Medicine","Annals of biomedical engineering"
"Ann Bot","Botany","Annals of botany"
